01.json	D=14 	L=3 	P=28 	R=4 	A=3 	N=12 	O=3 	 nb_optional=28
02.json	D=14 	L=3 	P=37 	R=5 	A=3 	N=13 	O=8 	 nb_optional=25
03.json	D=14 	L=3 	P=45 	R=4 	A=3 	N=10 	O=3 	 nb_optional=38
04.json	D=14 	L=3 	P=54 	R=9 	A=3 	N=21 	O=9 	 nb_optional=18
05.json	D=21 	L=3 	P=93 	R=10 	A=3 	N=25 	O=13 	 nb_optional=87
06.json	D=21 	L=3 	P=105 	R=7 	A=3 	N=16 	O=12 	 nb_optional=77
07.json	D=14 	L=3 	P=79 	R=13 	A=3 	N=29 	O=20 	 nb_optional=54
08.json	D=28 	L=3 	P=174 	R=14 	A=3 	N=32 	O=21 	 nb_optional=36
09.json	D=14 	L=3 	P=96 	R=12 	A=3 	N=26 	O=17 	 nb_optional=89
10.json	D=21 	L=3 	P=156 	R=8 	A=3 	N=20 	O=8 	 nb_optional=107
11.json	D=14 	L=3 	P=112 	R=15 	A=3 	N=34 	O=15 	 nb_optional=84
12.json	D=14 	L=3 	P=121 	R=12 	A=3 	N=29 	O=21 	 nb_optional=47
13.json	D=14 	L=3 	P=129 	R=10 	A=3 	N=24 	O=18 	 nb_optional=102
14.json	D=14 	L=3 	P=138 	R=21 	A=3 	N=44 	O=36 	 nb_optional=59
15.json	D=14 	L=3 	P=146 	R=16 	A=3 	N=34 	O=27 	 nb_optional=102
16.json	D=14 	L=3 	P=154 	R=17 	A=3 	N=36 	O=16 	 nb_optional=29
17.json	D=28 	L=3 	P=325 	R=18 	A=3 	N=37 	O=15 	 nb_optional=303
18.json	D=21 	L=3 	P=257 	R=19 	A=3 	N=41 	O=15 	 nb_optional=196
19.json	D=28 	L=3 	P=359 	R=25 	A=3 	N=52 	O=26 	 nb_optional=292
20.json	D=14 	L=3 	P=188 	R=15 	A=3 	N=33 	O=20 	 nb_optional=80
